,Year,DEM,REP
0,2014,75.79%,6.09%
1,2015,75.96%,6.19%
2,2016,76.06%,6.24%
3,2017,76.08%,6.18%
4,2018,75.84%,6.03%
5,2019,75.67%,5.85%
6,2021,76.44%,5.54%
7,2020,76.47%,5.71%
8,2022,76.85%,5.31%
9,2023,78.95%,3.77%
