,year,state,party_detailed,percent_total_votes
200,2020,ALABAMA,REPUBLICAN,0.620316431668648
201,2020,ALASKA,REPUBLICAN,0.5283314327038078
202,2020,ARIZONA,DEMOCRAT,0.49364690614366613
203,2020,ARKANSAS,REPUBLICAN,0.6239572985614432
204,2020,CALIFORNIA,DEMOCRAT,0.6348394689387351
205,2020,COLORADO,DEMOCRAT,0.5501106714065329
206,2020,CONNECTICUT,DEMOCRAT,0.5926073151568352
207,2020,DELAWARE,DEMOCRAT,0.5874300579364167
208,2020,FLORIDA,REPUBLICAN,0.5121981962250404
209,2020,GEORGIA,DEMOCRAT,0.49473055784446274
210,2020,HAWAII,DEMOCRAT,0.6314937976901742
211,2020,IDAHO,REPUBLICAN,0.6383756483190364
212,2020,ILLINOIS,DEMOCRAT,0.5754164537667581
213,2020,INDIANA,REPUBLICAN,0.5702115776570512
214,2020,IOWA,REPUBLICAN,0.5280019763194579
215,2020,KANSAS,REPUBLICAN,0.5621251283426474
216,2020,KENTUCKY,REPUBLICAN,0.6208657186929044
217,2020,LOUISIANA,REPUBLICAN,0.5846088241400853
218,2020,MAINE,DEMOCRAT,0.5252557934577239
219,2020,MARYLAND,DEMOCRAT,0.6536066486007711
220,2020,MASSACHUSETTS,DEMOCRAT,0.6512298370286536
221,2020,MICHIGAN,DEMOCRAT,0.5062081829082437
222,2020,MINNESOTA,DEMOCRAT,0.5239509930974001
223,2020,MISSISSIPPI,REPUBLICAN,0.5760295457538255
224,2020,MISSOURI,REPUBLICAN,0.5679965577888949
225,2020,MONTANA,REPUBLICAN,0.5691846924002028
226,2020,NEBRASKA,REPUBLICAN,0.5822416333205421
227,2020,NEVADA,DEMOCRAT,0.5005678195728402
228,2020,NEW HAMPSHIRE,DEMOCRAT,0.5270782528014766
229,2020,NEW JERSEY,DEMOCRAT,0.5733419675281298
230,2020,NEW MEXICO,DEMOCRAT,0.5428928584957222
231,2020,NEW YORK,DEMOCRAT,0.603918845358349
232,2020,NORTH CAROLINA,REPUBLICAN,0.4993433248829551
233,2020,NORTH DAKOTA,REPUBLICAN,0.6511404873707572
234,2020,OHIO,REPUBLICAN,0.5327130010087464
235,2020,OKLAHOMA,REPUBLICAN,0.6537327184806295
236,2020,OREGON,DEMOCRAT,0.5645331865404888
237,2020,PENNSYLVANIA,DEMOCRAT,0.5000849567544814
238,2020,RHODE ISLAND,DEMOCRAT,0.5947619876593357
239,2020,SOUTH CAROLINA,REPUBLICAN,0.5509348091719648
240,2020,SOUTH DAKOTA,REPUBLICAN,0.6176938967225024
241,2020,TENNESSEE,REPUBLICAN,0.6066029416628381
242,2020,TEXAS,REPUBLICAN,0.5205760360355265
243,2020,UTAH,REPUBLICAN,0.5812983902991959
244,2020,VERMONT,DEMOCRAT,0.6545578055250049
245,2020,VIRGINIA,DEMOCRAT,0.5410951717780242
246,2020,WASHINGTON,DEMOCRAT,0.5797030113530306
247,2020,WEST VIRGINIA,REPUBLICAN,0.6863155192461606
248,2020,WISCONSIN,DEMOCRAT,0.4944953686142774
249,2020,WYOMING,REPUBLICAN,0.6949978994840271
