,year,state,party_detailed,percent_total_votes
0,2004,ALABAMA,REPUBLICAN,0.6246068975770077
1,2004,ALASKA,REPUBLICAN,0.6106532991253942
2,2004,ARIZONA,REPUBLICAN,0.5486943408601376
3,2004,ARKANSAS,REPUBLICAN,0.5430595907843537
4,2004,CALIFORNIA,DEMOCRAT,0.5430555753467436
5,2004,COLORADO,REPUBLICAN,0.5171109535459211
6,2004,CONNECTICUT,DEMOCRAT,0.543137089719902
7,2004,DELAWARE,DEMOCRAT,0.5334683760228152
8,2004,FLORIDA,REPUBLICAN,0.5209751623233695
9,2004,GEORGIA,REPUBLICAN,0.5797475676698846
10,2004,HAWAII,DEMOCRAT,0.5400955215809311
11,2004,IDAHO,REPUBLICAN,0.6839094482399026
12,2004,ILLINOIS,DEMOCRAT,0.5482316020902781
13,2004,INDIANA,REPUBLICAN,0.5994476503665718
14,2004,IOWA,REPUBLICAN,0.4990065750530225
15,2004,KANSAS,REPUBLICAN,0.620039806155473
16,2004,KENTUCKY,REPUBLICAN,0.5954951383220055
17,2004,LOUISIANA,REPUBLICAN,0.5672202134108999
18,2004,MAINE,DEMOCRAT,0.5357285569259347
19,2004,MARYLAND,DEMOCRAT,0.5597146761355201
20,2004,MASSACHUSETTS,DEMOCRAT,0.616166602048537
21,2004,MICHIGAN,DEMOCRAT,0.5123070672905647
22,2004,MINNESOTA,REPUBLICAN,0.47613533791521456
23,2004,MISSISSIPPI,REPUBLICAN,0.5901437414899142
24,2004,MISSOURI,REPUBLICAN,0.5329619193926551
25,2004,MONTANA,REPUBLICAN,0.5906814316858852
26,2004,NEBRASKA,REPUBLICAN,0.6589864119889075
27,2004,NEVADA,REPUBLICAN,0.504696915453111
28,2004,NEW HAMPSHIRE,DEMOCRAT,0.5020161082255741
29,2004,NEW JERSEY,DEMOCRAT,0.5292340900702746
30,2004,NEW MEXICO,REPUBLICAN,0.498384247604138
31,2004,NEW YORK,DEMOCRAT,0.5613058126549186
32,2004,NORTH CAROLINA,REPUBLICAN,0.5601719733779452
33,2004,NORTH DAKOTA,REPUBLICAN,0.6286133496146507
34,2004,OHIO,REPUBLICAN,0.508140243355296
35,2004,OKLAHOMA,REPUBLICAN,0.6557040166475606
36,2004,OREGON,DEMOCRAT,0.5134866304221187
37,2004,PENNSYLVANIA,DEMOCRAT,0.5092380914415062
38,2004,RHODE ISLAND,DEMOCRAT,0.5942342622628302
39,2004,SOUTH CAROLINA,REPUBLICAN,0.5798194968164678
40,2004,SOUTH DAKOTA,REPUBLICAN,0.5991113171824891
41,2004,TENNESSEE,REPUBLICAN,0.5679908949136325
42,2004,TEXAS,REPUBLICAN,0.6108582276906154
43,2004,UTAH,REPUBLICAN,0.7153594785330293
44,2004,VERMONT,DEMOCRAT,0.5893746257712714
45,2004,VIRGINIA,REPUBLICAN,0.5373195656902156
46,2004,WASHINGTON,DEMOCRAT,0.5282114831183694
47,2004,WEST VIRGINIA,REPUBLICAN,0.5607071786946674
48,2004,WISCONSIN,DEMOCRAT,0.49699717084411216
49,2004,WYOMING,REPUBLICAN,0.6873956885274808
