,state,2021_anomaly,winning_party
7,Delaware,7.831060272767267,DEMOCRAT
18,Maine,7.683109118086696,DEMOCRAT
15,Kansas,6.589519650655022,REPUBLICAN
26,Nevada,5.787824529991047,DEMOCRAT
44,Washington,4.924119241192412,DEMOCRAT
34,Oklahoma,4.621087314662273,REPUBLICAN
21,Minnesota,2.8978179882916444,DEMOCRAT
11,Idaho,2.473404255319149,REPUBLICAN
47,Wyoming,2.4489795918367347,REPUBLICAN
33,Ohio,2.15625,REPUBLICAN
27,New Hampshire,2.0802919708029197,DEMOCRAT
35,Oregon,2.0,DEMOCRAT
24,Montana,1.8895348837209303,REPUBLICAN
2,Arizona,1.8475877192982455,DEMOCRAT
45,West Virginia,1.7621509824198553,REPUBLICAN
28,New Jersey,1.645674712457476,DEMOCRAT
9,Georgia,1.6168363707114597,DEMOCRAT
8,Florida,1.5601450735442273,REPUBLICAN
0,Alabama,1.4775345622119815,REPUBLICAN
12,Illinois,1.337442218798151,DEMOCRAT
40,Tennessee,1.3372327551432028,REPUBLICAN
19,Massachusetts,1.3161084178052005,DEMOCRAT
16,Kentucky,1.2057302029446877,REPUBLICAN
14,Iowa,1.2009939260077305,REPUBLICAN
36,Pennsylvania,1.1878717077315208,DEMOCRAT
4,California,1.16598687710587,DEMOCRAT
6,Connecticut,1.11058855146466,DEMOCRAT
17,Louisiana,1.0505836575875487,REPUBLICAN
41,Texas,1.034387515536528,REPUBLICAN
37,Rhode Island,1.031954887218045,DEMOCRAT
46,Wisconsin,0.9783301465901848,DEMOCRAT
31,North Carolina,0.9317205305436204,REPUBLICAN
20,Michigan,0.8998813994860645,DEMOCRAT
30,New York,0.8866732382075851,DEMOCRAT
1,Alaska,0.6477197620621282,REPUBLICAN
5,Colorado,0.5222785485592316,DEMOCRAT
13,Indiana,0.41078194970719945,REPUBLICAN
38,South Carolina,0.4053495105473597,REPUBLICAN
3,Arkansas,0.37806539509536785,REPUBLICAN
23,Missouri,0.2832645973518559,REPUBLICAN
22,Mississippi,0.24328859060402683,REPUBLICAN
42,Utah,0.14167650531286893,REPUBLICAN
32,North Dakota,0.0,REPUBLICAN
29,New Mexico,0.0,DEMOCRAT
39,South Dakota,0.0,REPUBLICAN
25,Nebraska,0.0,REPUBLICAN
43,Vermont,0.0,DEMOCRAT
10,Hawaii,0.0,DEMOCRAT
Total,,,
