,state,2017_anomaly,winning_party
11,Idaho,4.868951612903225,REPUBLICAN
43,Vermont,4.051359516616315,DEMOCRAT
42,Utah,2.640990371389271,REPUBLICAN
5,Colorado,2.5022563176895307,DEMOCRAT
40,Tennessee,2.2511713758341614,REPUBLICAN
0,Alabama,2.2319277108433733,REPUBLICAN
12,Illinois,2.2126623376623376,DEMOCRAT
41,Texas,2.105289004567107,REPUBLICAN
13,Indiana,2.026641294005709,REPUBLICAN
16,Kentucky,1.7592592592592593,REPUBLICAN
23,Missouri,1.6532639545884578,REPUBLICAN
21,Minnesota,1.6156126482213438,DEMOCRAT
28,New Jersey,1.5658377332634719,DEMOCRAT
17,Louisiana,1.540432167520606,REPUBLICAN
29,New Mexico,1.5021876519202724,DEMOCRAT
19,Massachusetts,1.4856390084607392,DEMOCRAT
2,Arizona,1.4713239235304627,REPUBLICAN
9,Georgia,1.451457557467574,REPUBLICAN
22,Mississippi,1.4186746987951806,REPUBLICAN
26,Nevada,1.352112676056338,DEMOCRAT
31,North Carolina,1.3415568862275449,REPUBLICAN
33,Ohio,1.3060081466395113,REPUBLICAN
30,New York,1.3029202527237451,DEMOCRAT
20,Michigan,1.2221437934859332,REPUBLICAN
6,Connecticut,1.1616229696030196,DEMOCRAT
3,Arkansas,1.125,REPUBLICAN
4,California,1.1082206035379814,DEMOCRAT
36,Pennsylvania,0.9546073060953909,REPUBLICAN
37,Rhode Island,0.8237476808905381,DEMOCRAT
8,Florida,0.6763561455710689,REPUBLICAN
27,New Hampshire,0.6297709923664123,DEMOCRAT
18,Maine,0.6282183316168899,DEMOCRAT
7,Delaware,0.5622750899640144,DEMOCRAT
38,South Carolina,0.4886332131965622,REPUBLICAN
44,Washington,0.4324097397145256,DEMOCRAT
46,Wisconsin,0.352112676056338,REPUBLICAN
10,Hawaii,0.18929503916449086,DEMOCRAT
32,North Dakota,0.1609442060085837,REPUBLICAN
35,Oregon,0.1548549107142857,DEMOCRAT
14,Iowa,0.13151108818978854,REPUBLICAN
45,West Virginia,0.0,REPUBLICAN
24,Montana,0.0,REPUBLICAN
39,South Dakota,0.0,REPUBLICAN
34,Oklahoma,0.0,REPUBLICAN
25,Nebraska,0.0,REPUBLICAN
1,Alaska,0.0,REPUBLICAN
15,Kansas,0.0,REPUBLICAN
47,Wyoming,0.0,REPUBLICAN
Total,,,
